;% accepted last year;% immediately rejected last year;Articles published last year;Average number of review reports;Average number of review rounds;Decision time immediate rejection;Difficulty of reviewer comments;Duration first review ;Five-year impact factor;Issues per year;Journal link;Kind of complaint procedure;Manuscript handling fee?;Manuscripts received last year;Open access status;Overall rating manuscript handlingOverall rating manuscript handling;Quality of review reports;Total handling time accepted manuscripts;Two-year impact factor
0;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;4.0;1.9 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-robotics-and-automation/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;3.0;3.0 mnths;['n/a']
1;['n/a'];['n/a'];['n/a'];2.0;1.0;n/a;n/a;7.2 mnths;['n/a'];['n/a'];https://scirev.org/journal/transactions-of-the-canadian-society-for-mechanical-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;2.0;7.2 mnths;['n/a']
2;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;3.0;1.5 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-plasticity/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;5.0;1.9 mnths;['n/a']
3;['n/a'];['n/a'];['n/a'];n/a;n/a;4 days;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-multiphase-flow/;['n/a'];['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;['n/a']
4;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;1.0;5.9 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-micromechanics-and-microengineering/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;7.9 mnths;['n/a']
5;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;1.0;2.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-coal-preparation-and-utilization/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;4.0 mnths;['n/a']
6;['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/tribology-and-lubrication-technology/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;n/a;n/a;['n/a']
7;['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-intelligent-transportation-systems/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;n/a;n/a;['n/a']
8;['n/a'];['n/a'];['n/a'];n/a;n/a;5 days;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/materials-science-and-engineering-b-solid-state-materials-for-advanced-technology/;['n/a'];['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;['n/a']
9;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;4.0;8.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-the-brazilian-society-of-mechanical-sciences-and-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;4.0;9.0 mnths;['n/a']
10;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;5.0;5.1 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-non-linear-mechanics/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;5.0;5.1 mnths;['n/a']
11;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;5.0;2.7 mnths;['n/a'];['n/a'];https://scirev.org/journal/materials-and-manufacturing-processes/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;3.5 mnths;['n/a']
12;['n/a'];['n/a'];['n/a'];1.0;1.0;n/a;n/a;1.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-mechanical-science-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;1.0;1.0 mnths;['n/a']
13;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;4.0;2.8 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-sound-and-vibration/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;5.0;2.8 mnths;['n/a']
14;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;1.0;5.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/tribology-international/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;6.0 mnths;['n/a']
15;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;1.0;5.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/tribology-international/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;6.0 mnths;['n/a']
16;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;3.0;1.4 mnths;['n/a'];['n/a'];https://scirev.org/journal/machining-science-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;3.0;1.8 mnths;['n/a']
