;% accepted last year;% immediately rejected last year;Articles published last year;Average number of review reports;Average number of review rounds;Decision time immediate rejection;Difficulty of reviewer comments;Duration first review ;Five-year impact factor;Issues per year;Journal link;Kind of complaint procedure;Manuscript handling fee?;Manuscripts received last year;Open access status;Overall rating manuscript handlingOverall rating manuscript handling;Quality of review reports;Total handling time accepted manuscripts;Two-year impact factor
33;['n/a'];['n/a'];['n/a'];4.0;2.0;61 days;3.0;2.3 mnths;['n/a'];['n/a'];https://scirev.org/journal/robotica/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;3.7 mnths;['n/a']
34;['n/a'];['n/a'];['n/a'];1.5;1.5;n/a;5.0;2.6 mnths;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-control-systems-technology/;['n/a'];['n/a'];['n/a'];['n/a'];4.5 ;4.5;4.3 mnths;['n/a']
35;['n/a'];['n/a'];['n/a'];2.0;1.0;n/a;n/a;2.4 mnths;['n/a'];['n/a'];https://scirev.org/journal/ieee-robotics-and-automation-magazine/;['n/a'];['n/a'];['n/a'];['n/a'];2.5 ;2.0;2.4 mnths;['n/a']
36;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;4.0;1.9 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-robotics-and-automation/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;3.0;3.0 mnths;['n/a']
37;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;1.0;2.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-advanced-manufacturing-technology/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;5.0;2.2 mnths;['n/a']
38;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;1.0;0.2 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-manufacturing-systems/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;5.0;1.2 mnths;['n/a']
39;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;1.0;4.2 mnths;['n/a'];['n/a'];https://scirev.org/journal/systems-and-control-letters/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;4.0;5.5 mnths;['n/a']
40;['n/a'];['n/a'];['n/a'];n/a;n/a;4 days;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/journal-of-systems-science-and-systems-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;['n/a']
41;['n/a'];['n/a'];['n/a'];0.0;1.0;n/a;n/a;1.3 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-control/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;n/a;1.3 mnths;['n/a']
42;['n/a'];['n/a'];['n/a'];3.0;1.0;n/a;n/a;3.2 mnths;['n/a'];['n/a'];https://scirev.org/journal/iet-control-theory-and-applications/;['n/a'];['n/a'];['n/a'];['n/a'];1.0 ;4.0;3.2 mnths;['n/a']
43;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;3.0;1.5 mnths;['n/a'];['n/a'];https://scirev.org/journal/engineering-applications-of-artificial-intelligence/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;4.0;1.8 mnths;['n/a']
44;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;5.0;4.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/robotics-and-computer-integrated-manufacturing/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;5.9 mnths;['n/a']
45;['n/a'];['n/a'];['n/a'];6.0;1.0;n/a;n/a;2.9 mnths;['n/a'];['n/a'];https://scirev.org/journal/ima-journal-of-mathematical-control-and-information/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;2.9 mnths;['n/a']
46;['n/a'];['n/a'];['n/a'];n/a;n/a;7 days;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/signal-processing/;['n/a'];['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;['n/a']
47;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;3.0;3.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-adaptive-control-and-signal-processing/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;6.0 mnths;['n/a']
48;['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/journal-of-signal-processing-systems/;['n/a'];['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;['n/a']
49;['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-industrial-informatics/;['n/a'];['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;['n/a']
